Station,geometry,lon,lat
Wolbecker Straße,POINT (7.636356 51.95921),7.636356,51.95921
Promenade (nördlich Salzstraße),POINT (7.634015197473532 51.960595599885565),7.634015197473532,51.960595599885565
Hafenstraße,POINT (7.62974 51.95426),7.62974,51.95426
Gartenstraße,POINT (7.635686416805148 51.97154102512242),7.635686416805148,51.97154102512242
Hammer Straße,POINT (7.62631 51.95462),7.62631,51.95462
Weseler Straße,POINT (7.6178703 51.9505521),7.6178703,51.9505521
Hüfferstraße,POINT (7.61094 51.9617),7.61094,51.9617
Warendorfer Straße,POINT (7.63768 51.96185),7.63768,51.96185
Neutor,POINT (7.615511 51.966988),7.615511,51.966988
"Kanalpromenade, Abschnitt 5",POINT (7.64893 51.91717),7.64893,51.91717
Goldstraße,POINT (7.636264 51.967438),7.636264,51.967438
Schmeddingstraße,POINT (7.59211 51.956734),7.59211,51.956734
Bismarckallee,POINT (7.6179789 51.9562088),7.6179789,51.9562088
Weißenburgstraße,POINT (7.619567 51.942891),7.619567,51.942891
Lütkenbecker Weg,POINT (7.651947 51.949545),7.651947,51.949545
Bohlweg,POINT (7.638286 51.966436),7.638286,51.966436
"Kanalpromenade, Abschnitt 1",POINT (7.66207 51.9798853),7.66207,51.9798853
"Kanalpromenade, Abschnitt 6",POINT (7.650465 51.887739),7.650465,51.887739
Gasselstiege,POINT (7.606586 51.979387),7.606586,51.979387
Coesfelder Kreuz,POINT (7.5995429 51.9649268),7.5995429,51.9649268
Promenade (in Höhe Hals),POINT (7.6239339 51.9568468),7.6239339,51.9568468
Grevener Straße,POINT (7.612012 51.979612),7.612012,51.979612
Kinderhauser Straße,POINT (7.613773 51.978652),7.613773,51.978652
Hüfferstraße,,7.610067639341043,51.96158048107171
Warendorfer_Straße,,7.636543281977567,51.961899478622065
Neutor,,7.6153886638541985,51.96707241051129
Kanalpromenade_Abschnitt_5,,7.648979896205808,51.91805984185329
Promenade_in_Höhe_Hals,,7.624637352226972,51.956496256584366
Lütkenbecker_Weg,,7.651260701119002,51.95097756041058
Goldstraße,,7.637027139079827,51.968020449618386
Bohlweg,,7.639231349153692,51.96662392485169
Kinderhauser_Straße,,7.6134411616773,51.98055287955727
Gasselstiege,,7.5890948527366735,51.993285797986395
Schmeddingstraße,,7.591119585875852,51.95759316378006
Weißenburgstraße,,7.619684341846338,51.942709589703966
Grevener_Straße,,7.611840243255448,51.98573297222513
Coesfelder_Kreuz,,7.599624601259572,51.964931008251206
Bismarckallee,,7.612099384765322,51.953857687043225
